"period";"tech";"variable";"value";"unit";"iter";"model"
2025;"combined cycle gas";"avg capacity factor";20.9278;"%";20;"DIETER"
2025;"open cycle gas turbine";"avg capacity factor";1.6685;"%";20;"DIETER"
2025;"solar";"avg capacity factor";10.6112;"%";20;"DIETER"
2025;"combined cycle gas";"full load capacity factor";6.0502;"%";20;"DIETER"
2025;"open cycle gas turbine";"full load capacity factor";0.0114;"%";20;"DIETER"
2025;"solar";"full load capacity factor";0.0076;"%";20;"DIETER"
2025;"combined cycle gas";"Market value";112.1895;"USD/MWh";20;"DIETER"
2025;"open cycle gas turbine";"Market value";483.3464;"USD/MWh";20;"DIETER"
2025;"solar";"Market value";51.6032;"USD/MWh";20;"DIETER"
2025;"combined cycle gas";"Market value full load";211.9857;"USD/MWh";20;"DIETER"
2025;"open cycle gas turbine";"Market value full load";54690.596;"USD/MWh";20;"DIETER"
2025;"solar";"Market value full load";0;"USD/MWh";20;"DIETER"
2025;"combined cycle gas";"Revenue";4.9964;"billionUSD";20;"DIETER"
2025;"open cycle gas turbine";"Revenue";1.8056;"billionUSD";20;"DIETER"
2025;"solar";"Revenue";3.5443;"billionUSD";20;"DIETER"
2025;"combined cycle gas";"Revenue full load";2.7294;"billionUSD";20;"DIETER"
2025;"open cycle gas turbine";"Revenue full load";1.3977;"billionUSD";20;"DIETER"
2025;"solar";"Revenue full load";0;"billionUSD";20;"DIETER"
